,Symbol,Div,AD,ED,RD
19982,TKR,0.28,2019-02-06,2019-02-19,2019-02-20
19983,TKR,0.28,2018-11-09,2018-11-19,2018-11-20
19984,TLDH,0.120122,2020-01-30,2020-09-24,2020-09-25
19985,TLDH,0.268396,2020-01-30,2020-06-25,2020-06-26
19986,TLDH,0.1255,2020-01-30,2020-03-26,2020-03-27
19987,TLDH,0.514775,2019-01-18,2019-12-27,2019-12-30
19988,TLDH,0.128407,2019-01-18,2019-09-26,2019-09-27
19989,TLDH,0.444577,2019-01-18,2019-06-27,2019-06-28
19990,TLDH,0.079122,2019-01-18,2019-03-21,2019-03-22
19991,TLDH,0.158274,2018-12-27,2018-12-28,2018-12-31
19992,TLI,0.066,2020-08-19,2020-09-22,2020-09-23
19993,TLI,0.066,2020-05-19,2020-08-21,2020-08-24
19994,TLI,0.066,2020-05-19,2020-07-23,2020-07-24
19995,TLI,0.066,2020-05-19,2020-06-22,2020-06-23
19996,TLI,0.066,2020-02-19,2020-05-20,2020-05-21
19997,TLI,0.066,2020-02-19,2020-04-22,2020-04-23
19998,TLI,0.066,2020-02-19,2020-03-23,2020-03-24
19999,TLI,0.063,2019-11-21,2020-02-20,2020-02-21
20000,TLI,0.063,2019-11-21,2020-01-23,2020-01-24
20001,TLI,0.063,2019-11-21,2019-12-19,2019-12-20
20002,TLI,0.063,2019-08-20,2019-11-21,2019-11-22
20003,TLI,0.063,2019-08-20,2019-10-17,2019-10-18
20004,TLI,0.063,2019-08-20,2019-09-19,2019-09-20
20005,TLI,0.063,2019-05-21,2019-08-22,2019-08-23
20006,TLI,0.063,2019-05-21,2019-07-18,2019-07-19
20007,TLI,0.063,2019-05-21,2019-06-20,2019-06-21
20008,TLI,0.053,2019-02-20,2019-05-23,2019-05-24
20009,TLI,0.053,2019-02-20,2019-04-17,2019-04-18
20010,TLI,0.053,2019-02-20,2019-03-21,2019-03-22
20011,TLI,0.053,2018-11-12,2019-02-14,2019-02-15
20012,TLI,0.053,2018-11-12,2019-01-17,2019-01-18
20013,TLI,0.053,2018-11-12,2018-12-20,2018-12-21
20014,TLI,0.053,2018-08-20,2018-11-21,2018-11-23
20015,TLI,0.053,2018-08-20,2018-10-18,2018-10-19
20016,TLTD,0.274405,2020-01-30,2020-09-18,2020-09-21
20017,TLTD,0.569935,2020-01-30,2020-06-19,2020-06-22
20018,TLTD,0.234251,2020-01-30,2020-03-20,2020-03-23
20019,TLTD,0.779363,2019-01-18,2019-12-20,2019-12-23
20020,TLTD,0.290299,2019-01-18,2019-09-20,2019-09-23
20021,TLTD,0.991783,2019-01-18,2019-06-21,2019-06-24
20022,TLTD,0.183238,2019-01-18,2019-03-15,2019-03-18
20023,TLTD,0.362481,2018-01-06,2018-12-21,2018-12-24
20024,TLYS,1,2020-01-24,2020-02-11,2020-02-12
20025,TLYS,1,2019-02-01,2019-02-14,2019-02-15
20026,TMDV,0.212717,2020-01-29,2020-09-23,2020-09-24
20027,TMDV,0.211242,2020-01-29,2020-06-24,2020-06-25
20028,TMDV,0.196927,2020-01-29,2020-03-25,2020-03-26
20029,TMDV,0.066365,2019-12-23,2019-12-24,2019-12-26
20030,TMFC,0.12563549,2019-12-17,2019-12-18,2019-12-19
20031,TMFC,0.11461098,2018-12-27,2018-12-28,2018-12-31
20032,TMO,0.22,2020-07-09,2020-09-14,2020-09-15
20033,TMO,0.22,2020-05-20,2020-06-12,2020-06-15
20034,TMO,0.22,2020-02-25,2020-03-13,2020-03-16
20035,TMO,0.19,2019-11-08,2019-12-16,2019-12-17
20036,TMO,0.19,2019-07-11,2019-09-16,2019-09-17
20037,TMO,0.19,2019-05-23,2019-06-13,2019-06-14
20038,TMO,0.19,2019-02-26,2019-03-14,2019-03-15
20039,TMO,0.17,2018-11-08,2018-12-14,2018-12-17
20040,TNA,,2020-01-09,2020-09-22,2020-09-23
20041,TNA,0.01099,2020-01-09,2020-06-23,2020-06-24
20042,TNA,,2020-01-09,2020-03-24,2020-03-25
20043,TNA,0.14955,2019-03-13,2019-12-23,2019-12-24
20044,TNA,,2019-03-13,2019-09-24,2019-09-25
20045,TNA,0.16721,2019-03-13,2019-06-25,2019-06-26
20046,TNA,,2019-03-13,2019-03-19,2019-03-20
20047,TNA,0.13564,2018-12-24,2018-12-27,2018-12-28
20048,TNC,0.22,2020-08-12,2020-08-28,2020-08-31
20049,TNC,0.22,2020-04-29,2020-05-28,2020-05-29
20050,TNC,0.22,2020-02-19,2020-02-28,2020-03-02
20051,TNC,0.22,2019-11-12,2019-11-27,2019-11-29
20052,TNC,0.22,2019-08-15,2019-08-29,2019-08-30
20053,TNC,0.22,2019-05-08,2019-05-30,2019-05-31
20054,TNC,0.22,2019-02-14,2019-02-27,2019-02-28
20055,TNC,0.22,2018-11-09,2018-11-29,2018-11-30
20056,TNP,0.075,2020-06-11,2020-06-19,2020-06-22
20057,TNP,0.05,2019-11-26,2019-12-11,2019-12-12
20058,TNP,0.05,2019-03-29,2019-05-23,2019-05-24
20059,TNP,0.05,2018-09-07,2018-11-29,2018-11-30
20060,TNP,0.05,2018-06-15,2018-08-01,2018-08-02
20061,TOK,0.589429,2019-12-13,2020-06-15,2020-06-16
20062,TOK,,2018-12-26,2019-12-30,2019-12-31
20063,TOK,0.699369,2018-12-26,2019-12-16,2019-12-17
20064,TOK,0.869854,2018-12-26,2019-06-17,2019-06-18
20065,TOK,,2018-01-23,2018-12-28,2018-12-31
20066,TOK,0.633537,2017-12-29,2018-12-18,2018-12-19
20067,TOL,0.11,2020-09-22,2020-10-08,2020-10-09
20068,TOL,0.11,2020-03-10,2020-04-08,2020-04-09
20069,TOL,0.11,2019-12-11,2020-01-09,2020-01-10
20070,TOL,0.11,2019-09-24,2019-10-10,2019-10-11
20071,TOL,0.11,2019-06-18,2019-07-11,2019-07-12
20072,TOL,0.11,2019-03-12,2019-04-11,2019-04-12
20073,TOL,0.11,2018-12-12,2019-01-10,2019-01-11
20074,TOTL,0.1031,2020-01-15,2020-10-01,2020-10-02
20075,TOTL,0.105552,2020-01-15,2020-09-01,2020-09-02
20076,TOTL,0.102879,2020-01-15,2020-08-03,2020-08-04
20077,TOTL,0.115582,2020-01-15,2020-07-01,2020-07-02
20078,TOTL,0.111444,2020-01-15,2020-06-01,2020-06-02
20079,TOTL,0.126546,2020-01-15,2020-05-01,2020-05-04
20080,TOTL,0.131482,2020-01-15,2020-04-01,2020-04-02
20081,TOTL,0.118677,2020-01-15,2020-03-02,2020-03-03
20082,TOTL,0.128951,2020-01-15,2020-02-03,2020-02-04
20083,TOTL,,2019-01-09,2019-12-30,2019-12-31
20084,TOTL,0.14256,2019-01-09,2019-12-20,2019-12-23
20085,TOTL,0.130684,2019-01-09,2019-12-02,2019-12-03
20086,TOTL,0.123349,2019-01-09,2019-11-01,2019-11-04
20087,TOTL,0.131703,2019-01-09,2019-10-01,2019-10-02
20088,TOTL,0.134757,2019-01-09,2019-09-03,2019-09-04
20089,TOTL,0.130567,2019-01-09,2019-08-01,2019-08-02
20090,TOTL,0.142323,2019-01-09,2019-07-01,2019-07-02
20091,TOTL,0.135472,2019-01-09,2019-06-03,2019-06-04
20092,TOTL,0.142956,2019-01-09,2019-05-01,2019-05-02
20093,TOTL,0.13799,2019-01-09,2019-04-01,2019-04-02
20094,TOTL,0.134508,2019-01-09,2019-03-01,2019-03-04
20095,TOTL,0.136039,2019-01-09,2019-02-01,2019-02-04
20096,TOTL,,2018-01-13,2018-12-28,2018-12-31
20097,TOTL,0.168791,2018-12-18,2018-12-19,2018-12-20
20098,TOTL,0.140559,2018-11-30,2018-12-03,2018-12-04
20099,TOTL,0.135523,2018-01-12,2018-11-01,2018-11-02
20100,TOWN,0.18,2020-08-26,2020-09-29,2020-09-30
20101,TOWN,0.18,2020-05-27,2020-06-29,2020-06-30
20102,TOWN,0.18,2020-02-26,2020-03-27,2020-03-30
20103,TOWN,0.18,2019-11-27,2019-12-27,2019-12-30
20104,TOWN,0.18,2019-08-28,2019-09-27,2019-09-30
