,Symbol,AD,ED,RD
163,ADRE,2019-06-21,2019-06-24,2019-06-25
164,ADRE,2018-12-21,2018-12-24,2018-12-26
165,ADS,2020-07-23,2020-08-13,2020-08-14
166,ADS,2020-04-23,2020-05-13,2020-05-14
167,ADS,2020-01-30,2020-02-13,2020-02-14
168,ADS,2019-10-24,2019-11-13,2019-11-14
169,ADS,2019-07-18,2019-09-03,2019-09-04
170,ADS,2019-04-25,2019-05-13,2019-05-14
171,ADS,2019-02-07,2019-02-20,2019-02-21
172,ADS,2018-10-18,2018-11-13,2018-11-14
173,ADTN,2020-08-05,2020-08-19,2020-08-20
174,ADTN,2020-05-06,2020-05-20,2020-05-21
175,ADTN,2020-02-05,2020-02-19,2020-02-20
176,ADTN,2019-10-30,2019-11-13,2019-11-14
177,ADTN,2019-07-16,2019-07-31,2019-08-01
178,ADTN,2019-04-17,2019-05-01,2019-05-02
179,ADTN,2019-01-22,2019-02-06,2019-02-07
180,ADTN,2018-10-16,2018-10-30,2018-10-31
181,ADX,2020-07-16,2020-08-17,2020-08-18
182,ADX,2020-04-09,2020-05-15,2020-05-18
183,ADX,2020-01-16,2020-02-13,2020-02-14
184,ADX,2019-11-14,2019-11-22,2019-11-25
185,ADX,2019-11-14,2019-11-22,2019-11-25
186,ADX,2019-07-18,2019-08-15,2019-08-16
187,ADX,2019-04-16,2019-05-16,2019-05-17
188,ADX,2019-01-17,2019-02-14,2019-02-15
189,ADX,2018-11-15,2018-11-23,2018-11-26
190,ADX,2018-11-15,2018-11-23,2018-11-26
191,ADX,2018-11-15,2018-11-23,2018-11-26
192,AEF,2020-09-10,2020-09-18,2020-09-21
193,AEF,2020-06-09,2020-06-18,2020-06-19
194,AEF,2020-03-10,2020-03-19,2020-03-20
195,AEF,2019-12-10,2019-12-30,2019-12-31
196,AEF,2019-09-11,2019-09-20,2019-09-23
197,AEF,2019-06-11,2019-06-20,2019-06-21
198,AEF,2019-03-11,2019-03-20,2019-03-21
199,AEF,2018-12-14,2018-12-28,2018-12-31
200,AEF,2018-12-21,2018-12-28,2018-12-31
201,AEG,2020-08-13,2020-08-21,2020-08-24
202,AEG,2020-08-13,2020-08-21,2020-08-24
203,AEG,2020-02-13,2020-05-19,2020-05-20
204,AEG,2020-02-13,2020-05-19,2020-05-20
205,AEG,2019-02-14,2019-05-21,2019-05-22
206,AEG,2019-02-14,2019-05-21,2019-05-22
207,AEL,2019-11-22,2019-12-02,2019-12-03
208,AEL,2018-11-15,2018-11-27,2018-11-28
209,AEP,2020-07-21,2020-08-07,2020-08-10
210,AEP,2020-04-21,2020-05-07,2020-05-08
211,AEP,2020-01-21,2020-02-07,2020-02-10
212,AEP,2019-10-22,2019-11-07,2019-11-08
213,AEP,2019-07-23,2019-08-08,2019-08-09
214,AEP,2019-04-23,2019-05-09,2019-05-10
215,AEP,2019-01-22,2019-02-07,2019-02-08
216,AEP,2018-10-23,2018-11-08,2018-11-09
217,AFIN,2020-07-01,2020-09-04,2020-09-08
218,AFIN,2020-07-01,2020-08-07,2020-08-10
219,AFIN,2020-07-01,2020-07-10,2020-07-13
220,AFIN,2020-04-01,2020-06-05,2020-06-08
221,AFIN,2020-04-01,2020-05-07,2020-05-08
222,AFIN,2020-04-01,2020-04-09,2020-04-13
223,AFIN,2020-01-02,2020-03-06,2020-03-09
224,AFIN,2020-01-02,2020-02-07,2020-02-10
225,AFIN,2020-01-02,2020-01-10,2020-01-13
226,AFIN,2019-10-01,2019-12-06,2019-12-09
227,AFIN,2019-10-01,2019-11-07,2019-11-08
228,AFIN,2019-10-01,2019-10-10,2019-10-11
229,AFIN,2019-07-01,2019-09-06,2019-09-09
230,AFIN,2019-07-01,2019-08-07,2019-08-08
231,AFIN,2019-07-01,2019-07-10,2019-07-11
232,AFIN,2019-04-01,2019-06-07,2019-06-10
233,AFIN,2019-04-01,2019-05-07,2019-05-08
234,AFIN,2019-04-01,2019-04-09,2019-04-10
235,AFIN,2019-01-02,2019-03-07,2019-03-08
236,AFIN,2019-01-02,2019-02-07,2019-02-08
237,AFIN,2019-01-02,2019-01-11,2019-01-14
238,AFIN,2018-10-01,2018-12-07,2018-12-10
239,AFIN,2018-10-01,2018-11-07,2018-11-08
240,AFK,2019-01-16,2019-12-23,2019-12-24
