,Symbol,AD,ED,RD
9452,HURC,2020-03-11,2020-03-27,2020-03-30
9453,HURC,2019-11-14,2019-12-31,2020-01-02
9454,HURC,2019-09-12,2019-09-27,2019-09-30
9455,HURC,2019-06-13,2019-06-28,2019-07-01
9456,HURC,2019-03-15,2019-03-29,2019-04-01
9457,HURC,2018-11-15,2019-01-02,2019-01-03
9458,HUSV,2020-01-21,2020-09-24,2020-09-25
9459,HUSV,2020-01-21,2020-06-25,2020-06-26
9460,HUSV,2020-01-21,2020-03-26,2020-03-27
9461,HUSV,2019-01-21,2019-12-13,2019-12-16
9462,HUSV,2019-01-21,2019-09-25,2019-09-26
9463,HUSV,2019-01-21,2019-06-14,2019-06-17
9464,HUSV,2019-01-21,2019-03-21,2019-03-22
9465,HUSV,2018-01-11,2018-12-18,2018-12-19
9466,HVT.A,2020-08-07,2020-08-21,2020-08-24
9467,HVT.A,2020-05-19,2020-06-03,2020-06-04
9468,HVT.A,2020-02-26,2020-03-11,2020-03-12
9469,HVT.A,2019-11-08,2019-11-22,2019-11-25
9470,HVT.A,2019-08-09,2019-08-23,2019-08-26
9471,HVT.A,2019-05-17,2019-06-03,2019-06-04
9472,HVT.A,2019-02-26,2019-03-12,2019-03-13
9473,HVT.A,2018-11-16,2018-11-30,2018-12-03
9474,HVT.A,2018-11-16,2018-11-30,2018-12-03
9475,HWC,2020-08-27,2020-09-04,2020-09-08
9476,HWC,2020-05-20,2020-06-04,2020-06-05
9477,HWC,2020-01-27,2020-03-04,2020-03-05
9478,HWC,2019-10-28,2019-12-04,2019-12-05
9479,HWC,2019-07-29,2019-09-04,2019-09-05
9480,HWC,2019-04-26,2019-06-04,2019-06-05
9481,HWC,2019-01-28,2019-03-04,2019-03-05
9482,HWC,2018-10-29,2018-12-04,2018-12-05
9483,HWKN,2020-07-30,2020-08-13,2020-08-14
9484,HWKN,2020-05-20,2020-06-04,2020-06-05
9485,HWKN,2020-02-06,2020-02-20,2020-02-21
9486,HWKN,2019-10-31,2019-11-14,2019-11-15
9487,HWKN,2019-08-01,2019-08-15,2019-08-16
9488,HWKN,2019-05-23,2019-06-06,2019-06-07
9489,HWKN,2019-02-07,2019-02-21,2019-02-22
9490,HWKN,2018-11-01,2018-11-15,2018-11-16
9491,HXL,2020-02-03,2020-02-13,2020-02-14
9492,HXL,2019-10-21,2019-10-31,2019-11-01
9493,HXL,2019-07-22,2019-08-01,2019-08-02
9494,HXL,2019-04-23,2019-05-02,2019-05-03
9495,HXL,2019-01-23,2019-02-04,2019-02-05
9496,HXL,2018-10-22,2018-11-01,2018-11-02
9497,HYD,2020-01-14,2020-10-01,2020-10-02
9498,HYD,2020-01-14,2020-09-01,2020-09-02
9499,HYD,2020-01-14,2020-08-03,2020-08-04
9500,HYD,2020-01-14,2020-07-01,2020-07-02
9501,HYD,2020-01-14,2020-06-01,2020-06-02
9502,HYD,2020-01-14,2020-05-01,2020-05-04
9503,HYD,2020-01-14,2020-04-01,2020-04-02
9504,HYD,2020-01-14,2020-03-02,2020-03-03
9505,HYD,2020-01-14,2020-02-03,2020-02-04
9506,HYD,2019-01-16,2019-12-30,2019-12-31
9507,HYD,2019-01-16,2019-12-02,2019-12-03
9508,HYD,2019-01-16,2019-11-01,2019-11-04
9509,HYD,2019-01-16,2019-10-01,2019-10-02
9510,HYD,2019-01-16,2019-09-03,2019-09-04
9511,HYD,2019-01-16,2019-08-01,2019-08-02
9512,HYD,2019-01-16,2019-07-01,2019-07-02
9513,HYD,2019-01-16,2019-06-03,2019-06-04
9514,HYD,2019-01-16,2019-05-01,2019-05-02
9515,HYD,2019-01-16,2019-04-01,2019-04-02
9516,HYD,2019-01-16,2019-03-01,2019-03-04
9517,HYD,2019-01-16,2019-02-01,2019-02-04
9518,HYD,2018-01-30,2018-12-27,2018-12-28
9519,HYD,2018-12-26,2018-12-27,2018-12-28
9520,HYDW,2020-09-30,2020-10-01,2020-10-02
9521,HYDW,2020-08-31,2020-09-01,2020-09-02
9522,HYDW,2020-07-31,2020-08-03,2020-08-04
9523,HYDW,2020-06-30,2020-07-01,2020-07-02
9524,HYDW,2020-05-29,2020-06-01,2020-06-02
9525,HYDW,2020-04-30,2020-05-01,2020-05-04
9526,HYDW,2020-03-31,2020-04-01,2020-04-02
9527,HYDW,2020-03-02,2020-03-02,2020-03-03
9528,HYDW,2020-01-31,2020-02-03,2020-02-04
9529,HYDW,2019-12-19,2019-12-20,2019-12-23
9530,HYDW,2019-12-02,2019-12-03,2019-12-04
9531,HYDW,2019-10-31,2019-11-01,2019-11-04
9532,HYDW,2019-09-30,2019-10-01,2019-10-02
9533,HYDW,2019-09-03,2019-09-04,2019-09-05
9534,HYDW,2019-07-31,2019-08-01,2019-08-02
9535,HYDW,2019-06-28,2019-07-01,2019-07-02
9536,HYDW,2019-06-03,2019-06-03,2019-06-04
9537,HYDW,2019-04-30,2019-05-01,2019-05-02
9538,HYDW,2019-03-29,2019-04-01,2019-04-02
9539,HYDW,2019-02-28,2019-03-01,2019-03-04
9540,HYDW,2019-01-31,2019-02-01,2019-02-04
9541,HYDW,2018-11-30,2018-12-03,2018-12-04
9542,HYDW,2018-01-30,2018-11-01,2018-11-02
9543,HYG,2020-09-30,2020-10-01,2020-10-02
9544,HYG,2019-12-12,2020-09-01,2020-09-02
9545,HYG,2019-12-12,2020-08-03,2020-08-04
9546,HYG,2019-12-12,2020-07-01,2020-07-02
9547,HYG,2019-12-12,2020-06-01,2020-06-02
9548,HYG,2019-12-12,2020-05-01,2020-05-04
9549,HYG,2019-12-12,2020-04-01,2020-04-02
9550,HYG,2019-12-12,2020-03-02,2020-03-03
9551,HYG,2019-12-12,2020-02-03,2020-02-04
9552,HYG,2019-02-25,2019-12-30,2019-12-31
9553,HYG,2019-02-25,2019-12-19,2019-12-20
9554,HYG,2019-02-25,2019-12-02,2019-12-03
9555,HYG,2019-02-25,2019-11-01,2019-11-04
9556,HYG,2019-02-25,2019-10-01,2019-10-02
9557,HYG,2019-02-25,2019-09-03,2019-09-04
9558,HYG,2019-02-25,2019-08-01,2019-08-02
9559,HYG,2019-02-25,2019-07-01,2019-07-02
9560,HYG,2019-02-25,2019-06-03,2019-06-04
9561,HYG,2019-02-25,2019-05-01,2019-05-02
9562,HYG,2019-02-25,2019-04-01,2019-04-02
9563,HYG,2019-02-25,2019-03-01,2019-03-04
9564,HYG,2019-01-31,2019-02-01,2019-02-04
9565,HYG,2018-01-18,2018-12-28,2018-12-31
9566,HYG,2018-01-06,2018-12-18,2018-12-19
9567,HYG,2018-01-06,2018-12-03,2018-12-04
9568,HYG,2018-01-06,2018-11-01,2018-11-02
9569,HYGV,2020-01-29,2020-10-01,2020-10-02
9570,HYGV,2020-01-29,2020-09-01,2020-09-02
9571,HYGV,2020-01-29,2020-08-03,2020-08-04
9572,HYGV,2020-01-29,2020-07-01,2020-07-02
9573,HYGV,2020-01-29,2020-06-01,2020-06-02
9574,HYGV,2020-01-29,2020-05-01,2020-05-04
9575,HYGV,2020-01-29,2020-04-01,2020-04-02
9576,HYGV,2020-01-29,2020-03-02,2020-03-03
9577,HYGV,2020-01-29,2020-02-03,2020-02-04
9578,HYGV,2019-01-17,2019-12-20,2019-12-23
9579,HYGV,2019-01-17,2019-12-02,2019-12-03
9580,HYGV,2019-01-17,2019-11-01,2019-11-04
9581,HYGV,2019-01-17,2019-10-01,2019-10-02
9582,HYGV,2019-01-17,2019-09-03,2019-09-04
9583,HYGV,2019-01-17,2019-08-01,2019-08-02
9584,HYGV,2019-01-17,2019-07-01,2019-07-02
9585,HYGV,2019-01-17,2019-06-03,2019-06-04
9586,HYGV,2019-01-17,2019-05-01,2019-05-02
9587,HYGV,2019-01-17,2019-04-01,2019-04-02
9588,HYGV,2019-01-17,2019-03-01,2019-03-04
9589,HYGV,2019-01-17,2019-02-01,2019-02-04
9590,HYGV,2018-07-23,2018-12-21,2018-12-24
9591,HYGV,2018-07-23,2018-12-03,2018-12-04
9592,HYGV,2018-07-23,2018-11-01,2018-11-02
9593,HYI,2020-08-19,2020-09-22,2020-09-23
9594,HYI,2020-05-19,2020-08-21,2020-08-24
9595,HYI,2020-05-19,2020-07-23,2020-07-24
9596,HYI,2020-05-19,2020-06-22,2020-06-23
9597,HYI,2020-02-19,2020-05-20,2020-05-21
9598,HYI,2020-02-19,2020-04-22,2020-04-23
9599,HYI,2020-02-19,2020-03-23,2020-03-24
9600,HYI,2019-11-21,2020-02-20,2020-02-21
9601,HYI,2019-11-21,2020-01-23,2020-01-24
9602,HYI,2019-11-21,2019-12-19,2019-12-20
9603,HYI,2019-08-20,2019-11-21,2019-11-22
9604,HYI,2019-08-20,2019-10-17,2019-10-18
9605,HYI,2019-08-20,2019-09-19,2019-09-20
9606,HYI,2019-05-21,2019-08-22,2019-08-23
9607,HYI,2019-05-21,2019-07-18,2019-07-19
9608,HYI,2019-05-21,2019-06-20,2019-06-21
9609,HYI,2019-02-20,2019-05-23,2019-05-24
9610,HYI,2019-02-20,2019-04-17,2019-04-18
9611,HYI,2019-02-20,2019-03-21,2019-03-22
9612,HYI,2018-11-12,2019-02-14,2019-02-15
9613,HYI,2018-11-12,2019-01-17,2019-01-18
9614,HYI,2018-11-12,2018-12-20,2018-12-21
9615,HYI,2018-08-20,2018-11-21,2018-11-23
9616,HYI,2018-08-20,2018-10-18,2018-10-19
9617,HYLD,2020-09-24,2020-09-25,2020-09-28
9618,HYLD,2020-08-26,2020-08-27,2020-08-28
9619,HYLD,2020-07-27,2020-07-28,2020-07-29
9620,HYLD,2020-06-24,2020-06-25,2020-06-26
9621,HYLD,2020-05-22,2020-05-26,2020-05-27
9622,HYLD,2020-04-24,2020-04-27,2020-04-28
9623,HYLD,2020-03-25,2020-03-26,2020-03-27
9624,HYLD,2020-02-24,2020-02-25,2020-02-26
9625,HYLD,2020-01-27,2020-01-28,2020-01-29
9626,HYLD,2019-12-24,2019-12-26,2019-12-27
9627,HYLD,2019-11-21,2019-11-22,2019-11-25
9628,HYLD,2019-10-25,2019-10-28,2019-10-29
9629,HYLD,2019-09-24,2019-09-25,2019-09-26
9630,HYLD,2019-08-26,2019-08-27,2019-08-28
9631,HYLD,2019-07-25,2019-07-26,2019-07-29
9632,HYLD,2019-06-24,2019-06-25,2019-06-26
9633,HYLD,2019-05-24,2019-05-28,2019-05-29
9634,HYLD,2019-04-24,2019-04-25,2019-04-26
9635,HYLD,2019-03-25,2019-03-26,2019-03-27
9636,HYLD,2019-02-22,2019-02-25,2019-02-26
9637,HYLD,2019-01-25,2019-01-28,2019-01-29
9638,HYLD,2018-12-26,2018-12-27,2018-12-28
9639,HYLD,2018-11-26,2018-11-27,2018-11-28
9640,HYLD,2018-10-25,2018-10-26,2018-10-29
9641,HYLV,2020-02-03,2020-10-01,2020-10-02
9642,HYLV,2020-02-03,2020-09-01,2020-09-02
9643,HYLV,2020-02-03,2020-08-03,2020-08-04
9644,HYLV,2020-02-03,2020-07-01,2020-07-02
9645,HYLV,2020-02-03,2020-06-01,2020-06-02
9646,HYLV,2020-02-03,2020-05-01,2020-05-04
9647,HYLV,2020-02-03,2020-04-01,2020-04-02
9648,HYLV,2020-02-03,2020-03-02,2020-03-03
9649,HYLV,2020-01-31,2020-02-03,2020-02-04
9650,HYLV,2019-01-07,2019-12-30,2019-12-31
9651,HYLV,2019-01-07,2019-12-02,2019-12-03
9652,HYLV,2019-01-07,2019-11-01,2019-11-04
9653,HYLV,2019-01-07,2019-10-01,2019-10-02
9654,HYLV,2019-01-07,2019-09-03,2019-09-04
9655,HYLV,2019-01-07,2019-08-01,2019-08-02
9656,HYLV,2019-01-07,2019-07-01,2019-07-02
9657,HYLV,2019-01-07,2019-06-03,2019-06-04
9658,HYLV,2019-01-07,2019-05-01,2019-05-02
9659,HYLV,2019-01-07,2019-04-01,2019-04-02
9660,HYLV,2019-01-07,2019-03-01,2019-03-04
9661,HYLV,2019-01-07,2019-02-01,2019-02-04
9662,HYLV,2018-01-05,2018-12-27,2018-12-28
9663,HYLV,2018-01-05,2018-12-03,2018-12-04
9664,HYLV,2018-01-05,2018-11-01,2018-11-02
9665,HYS,2020-01-23,2020-10-01,2020-10-02
9666,HYS,2020-01-23,2020-09-01,2020-09-02
9667,HYS,2020-01-23,2020-08-03,2020-08-04
9668,HYS,2020-01-23,2020-07-01,2020-07-02
9669,HYS,2020-01-23,2020-06-01,2020-06-02
9670,HYS,2020-01-23,2020-05-01,2020-05-04
9671,HYS,2020-01-23,2020-04-01,2020-04-02
9672,HYS,2020-01-23,2020-03-02,2020-03-03
9673,HYS,2020-01-23,2020-02-03,2020-02-04
9674,HYS,2019-12-27,2019-12-30,2019-12-31
9675,HYS,2019-01-21,2019-12-02,2019-12-03
9676,HYS,2019-01-21,2019-11-01,2019-11-04
9677,HYS,2019-01-21,2019-10-01,2019-10-02
9678,HYS,2019-01-21,2019-09-03,2019-09-04
9679,HYS,2019-01-21,2019-08-01,2019-08-02
9680,HYS,2019-01-21,2019-07-01,2019-07-02
9681,HYS,2019-01-21,2019-06-03,2019-06-04
9682,HYS,2019-01-21,2019-05-01,2019-05-02
9683,HYS,2019-01-21,2019-04-01,2019-04-02
9684,HYS,2019-01-21,2019-03-01,2019-03-04
9685,HYS,2019-01-31,2019-02-01,2019-02-04
9686,HYS,2017-12-12,2018-12-28,2018-12-31
9687,HYS,2017-12-12,2018-12-12,2018-12-13
9688,HYS,2018-11-30,2018-12-03,2018-12-04
9689,HYS,2017-12-12,2018-11-01,2018-11-02
9690,HYTR,2020-09-14,2020-09-15,2020-09-16
9691,HYTR,2020-08-13,2020-08-14,2020-08-17
9692,HYTR,2020-07-14,2020-07-15,2020-07-16
9693,HYTR,2020-06-12,2020-06-15,2020-06-16
9694,HYTR,2020-05-14,2020-05-15,2020-05-18
9695,HYTR,2020-04-14,2020-04-15,2020-04-16
9696,HYTR,2020-03-12,2020-03-13,2020-03-16
9697,HYTR,2020-02-13,2020-02-14,2020-02-18
9698,HYXF,2020-09-30,2020-10-01,2020-10-02
9699,HYXF,2019-12-11,2020-09-01,2020-09-02
9700,HYXF,2019-12-11,2020-08-03,2020-08-04
9701,HYXF,2019-12-11,2020-07-01,2020-07-02
9702,HYXF,2019-12-11,2020-06-01,2020-06-02
9703,HYXF,2019-12-11,2020-05-01,2020-05-04
9704,HYXF,2019-12-11,2020-04-01,2020-04-02
9705,HYXF,2019-12-11,2020-03-02,2020-03-03
9706,HYXF,2019-12-11,2020-02-03,2020-02-04
9707,HYXF,2018-12-19,2019-12-19,2019-12-20
9708,HYXF,2018-12-19,2019-12-02,2019-12-03
9709,HYXF,2018-12-19,2019-11-01,2019-11-04
9710,HYXF,2018-12-19,2019-10-01,2019-10-02
9711,HYXF,2018-12-19,2019-09-03,2019-09-04
9712,HYXF,2018-12-19,2019-08-01,2019-08-02
9713,HYXF,2018-12-19,2019-07-01,2019-07-02
9714,HYXF,2018-12-19,2019-06-03,2019-06-04
9715,HYXF,2018-12-19,2019-05-01,2019-05-02
9716,HYXF,2018-12-19,2019-04-01,2019-04-02
9717,HYXF,2018-12-19,2019-03-01,2019-03-04
9718,HYXF,2018-12-19,2019-02-01,2019-02-04
9719,HYXF,2018-01-02,2018-12-03,2018-12-04
9720,HYXF,2018-01-02,2018-11-01,2018-11-02
9721,HYZD,2020-09-21,2020-09-22,2020-09-23
9722,HYZD,2020-08-24,2020-08-25,2020-08-26
9723,HYZD,2020-07-27,2020-07-28,2020-07-29
9724,HYZD,2020-06-22,2020-06-23,2020-06-24
9725,HYZD,2020-05-22,2020-05-26,2020-05-27
9726,HYZD,2020-04-20,2020-04-21,2020-04-22
9727,HYZD,2020-03-23,2020-03-24,2020-03-25
9728,HYZD,2020-02-24,2020-02-25,2020-02-26
9729,HYZD,2020-01-17,2020-01-21,2020-01-22
9730,HYZD,2019-12-09,2019-12-09,2019-12-10
9731,HYZD,2019-11-22,2019-11-25,2019-11-26
9732,HYZD,2019-10-21,2019-10-22,2019-10-23
9733,HYZD,2019-09-23,2019-09-24,2019-09-25
9734,HYZD,2019-08-26,2019-08-27,2019-08-28
9735,HYZD,2019-07-22,2019-07-23,2019-07-24
9736,HYZD,2019-06-21,2019-06-24,2019-06-25
9737,HYZD,2019-05-24,2019-05-28,2019-05-29
9738,HYZD,2019-04-22,2019-04-23,2019-04-24
9739,HYZD,2019-03-26,2019-03-26,2019-03-27
9740,HYZD,2019-02-15,2019-02-19,2019-02-20
9741,HYZD,2019-01-18,2019-01-22,2019-01-23
9742,HYZD,2018-12-21,2018-12-24,2018-12-26
9743,HYZD,2018-11-19,2018-11-20,2018-11-21
9744,HYZD,2018-10-22,2018-10-23,2018-10-24
9745,IAF,2020-08-11,2020-08-20,2020-08-21
9746,IAF,2020-05-11,2020-05-20,2020-05-21
9747,IAF,2020-03-10,2020-03-19,2020-03-20
9748,IAF,2019-12-10,2019-12-30,2019-12-31
9749,IAF,2019-09-11,2019-09-20,2019-09-23
9750,IAF,2019-06-11,2019-06-20,2019-06-21
9751,IAF,2019-03-11,2019-03-20,2019-03-21
9752,IAF,2018-12-11,2018-12-28,2018-12-31
9753,IAGG,2019-12-10,2020-10-01,2020-10-02
9754,IAGG,2019-12-10,2020-09-01,2020-09-02
9755,IAGG,2019-12-10,2020-08-03,2020-08-04
9756,IAGG,2019-12-10,2020-07-01,2020-07-02
9757,IAGG,2019-12-10,2020-06-01,2020-06-02
9758,IAGG,2019-12-10,2020-05-01,2020-05-04
9759,IAGG,2019-12-10,2020-04-01,2020-04-02
9760,IAGG,2019-12-10,2020-03-02,2020-03-03
9761,IAGG,2019-12-10,2020-02-03,2020-02-04
9762,IAGG,2018-12-19,2019-12-30,2019-12-31
9763,IAGG,2019-12-18,2019-12-19,2019-12-20
9764,IAGG,2018-12-19,2019-12-02,2019-12-03
9765,IAGG,2018-12-19,2019-11-01,2019-11-04
9766,IAGG,2018-12-19,2019-10-01,2019-10-02
9767,IAGG,2018-12-19,2019-09-03,2019-09-04
9768,IAGG,2018-12-19,2019-08-01,2019-08-02
9769,IAGG,2018-12-19,2019-07-01,2019-07-02
9770,IAGG,2018-12-19,2019-06-03,2019-06-04
9771,IAGG,2018-12-19,2019-05-01,2019-05-02
9772,IAGG,2018-12-19,2019-04-01,2019-04-02
9773,IAGG,2018-12-19,2019-03-01,2019-03-04
9774,IAGG,2018-12-19,2019-02-01,2019-02-04
9775,IAGG,2018-01-06,2018-12-18,2018-12-19
9776,IAGG,2018-01-06,2018-12-03,2018-12-04
9777,IAGG,2018-01-06,2018-11-01,2018-11-02
9778,IAK,2019-12-13,2020-09-23,2020-09-24
9779,IAK,2019-12-13,2020-06-15,2020-06-16
9780,IAK,2019-12-13,2020-03-25,2020-03-26
9781,IAK,2018-12-24,2019-12-30,2019-12-31
9782,IAK,2018-12-24,2019-12-16,2019-12-17
9783,IAK,2018-12-24,2019-09-24,2019-09-25
9784,IAK,2018-12-24,2019-06-17,2019-06-18
9785,IAK,2018-12-24,2019-03-20,2019-03-21
9786,IAK,2018-01-18,2018-12-28,2018-12-31
9787,IAK,2017-12-29,2018-12-17,2018-12-18
9788,IAT,2019-12-13,2020-09-23,2020-09-24
9789,IAT,2019-12-13,2020-06-15,2020-06-16
9790,IAT,2019-12-13,2020-03-25,2020-03-26
9791,IAT,2018-12-24,2019-12-30,2019-12-31
9792,IAT,2018-12-24,2019-12-16,2019-12-17
9793,IAT,2018-12-24,2019-09-24,2019-09-25
9794,IAT,2018-12-24,2019-06-17,2019-06-18
9795,IAT,2018-12-24,2019-03-20,2019-03-21
9796,IAT,2018-01-18,2018-12-28,2018-12-31
9797,IAT,2017-12-29,2018-12-17,2018-12-18
9798,IAUF,2018-12-28,2019-12-30,2019-12-31
9799,IAUF,2018-12-28,2019-12-16,2019-12-17
9800,IAUF,2018-06-15,2018-12-28,2018-12-31
9801,IAUF,2018-06-15,2018-12-18,2018-12-19
9802,IBB,2019-12-12,2020-09-23,2020-09-24
9803,IBB,2019-12-12,2020-06-15,2020-06-16
9804,IBB,2019-12-12,2020-03-25,2020-03-26
9805,IBB,2018-12-24,2019-12-16,2019-12-17
9806,IBB,2018-12-24,2019-09-24,2019-09-25
9807,IBB,2018-12-24,2019-06-17,2019-06-18
9808,IBB,2018-12-24,2019-03-20,2019-03-21
9809,IBCE,2019-12-12,2020-10-01,2020-10-02
9810,IBCE,2019-12-12,2020-09-01,2020-09-02
9811,IBCE,2019-12-12,2020-08-03,2020-08-04
9812,IBCE,2019-12-12,2020-07-01,2020-07-02
9813,IBCE,2019-12-12,2020-06-01,2020-06-02
9814,IBCE,2019-12-12,2020-05-01,2020-05-04
9815,IBCE,2019-12-12,2020-04-01,2020-04-02
9816,IBCE,2019-12-12,2020-03-02,2020-03-03
9817,IBCE,2019-12-12,2020-02-03,2020-02-04
9818,IBCE,2018-12-19,2019-12-30,2019-12-31
9819,IBCE,2019-12-18,2019-12-19,2019-12-20
9820,IBCE,2018-12-19,2019-12-02,2019-12-03
9821,IBCE,2018-12-19,2019-11-01,2019-11-04
9822,IBCE,2018-12-19,2019-10-01,2019-10-02
9823,IBCE,2018-12-19,2019-09-03,2019-09-04
9824,IBCE,2018-12-19,2019-08-01,2019-08-02
9825,IBCE,2018-12-19,2019-07-01,2019-07-02
9826,IBCE,2018-12-19,2019-06-03,2019-06-04
9827,IBCE,2018-12-19,2019-05-01,2019-05-02
9828,IBCE,2018-12-19,2019-04-01,2019-04-02
9829,IBCE,2018-12-19,2019-03-01,2019-03-04
9830,IBCE,2018-12-19,2019-02-01,2019-02-04
9831,IBCE,2018-01-05,2018-12-18,2018-12-19
9832,IBCE,2018-01-05,2018-12-03,2018-12-04
9833,IBCE,2018-01-05,2018-11-01,2018-11-02
9834,IBD,2020-09-24,2020-09-25,2020-09-28
9835,IBD,2020-08-26,2020-08-27,2020-08-28
9836,IBD,2020-06-25,2020-06-26,2020-06-29
9837,IBD,2020-05-26,2020-05-27,2020-05-28
9838,IBD,2020-04-24,2020-04-27,2020-04-28
9839,IBD,2020-03-26,2020-03-27,2020-03-30
9840,IBD,2020-02-25,2020-02-26,2020-02-27
9841,IBD,2020-01-28,2020-01-29,2020-01-30
9842,IBD,2019-12-12,2019-12-13,2019-12-16
9843,IBD,2019-12-12,2019-12-13,2019-12-16
9844,IBD,2019-12-12,2019-12-13,2019-12-16
9845,IBD,2019-11-26,2019-11-27,2019-11-29
9846,IBD,2019-10-25,2019-10-28,2019-10-29
9847,IBD,2019-09-25,2019-09-26,2019-09-27
9848,IBD,2019-08-28,2019-08-29,2019-08-30
9849,IBD,2019-07-25,2019-07-26,2019-07-29
9850,IBD,2019-06-26,2019-06-27,2019-06-28
9851,IBD,2019-05-28,2019-05-29,2019-05-30
9852,IBD,2019-04-25,2019-04-26,2019-04-29
9853,IBD,2019-03-27,2019-03-28,2019-03-29
9854,IBD,2019-02-25,2019-02-26,2019-02-27
9855,IBD,2019-01-28,2019-01-29,2019-01-30
9856,IBD,2018-12-13,2018-12-14,2018-12-17
9857,IBD,2018-11-27,2018-11-28,2018-11-29
9858,IBD,2018-10-25,2018-10-26,2018-10-29
9859,IBDL,2019-12-11,2020-10-01,2020-10-02
9860,IBDL,2019-12-11,2020-09-01,2020-09-02
9861,IBDL,2019-12-11,2020-08-03,2020-08-04
9862,IBDL,2019-12-11,2020-07-01,2020-07-02
9863,IBDL,2019-12-11,2020-06-01,2020-06-02
9864,IBDL,2019-12-11,2020-05-01,2020-05-04
9865,IBDL,2019-12-11,2020-04-01,2020-04-02
9866,IBDL,2019-12-11,2020-03-02,2020-03-03
9867,IBDL,2019-12-11,2020-02-03,2020-02-04
9868,IBDL,2018-12-19,2019-12-30,2019-12-31
9869,IBDL,2019-12-19,2019-12-19,2019-12-20
9870,IBDL,2018-12-19,2019-12-02,2019-12-03
9871,IBDL,2018-12-19,2019-11-01,2019-11-04
9872,IBDL,2018-12-19,2019-10-01,2019-10-02
9873,IBDL,2018-12-19,2019-09-03,2019-09-04
9874,IBDL,2018-12-19,2019-08-01,2019-08-02
9875,IBDL,2018-12-19,2019-07-01,2019-07-02
9876,IBDL,2018-12-19,2019-06-03,2019-06-04
9877,IBDL,2018-12-19,2019-05-01,2019-05-02
9878,IBDL,2018-12-19,2019-04-01,2019-04-02
9879,IBDL,2018-12-19,2019-03-01,2019-03-04
9880,IBDL,2018-12-19,2019-02-01,2019-02-04
9881,IBDL,2018-01-05,2018-12-18,2018-12-19
9882,IBDL,2018-01-05,2018-12-03,2018-12-04
9883,IBDL,2018-01-05,2018-11-01,2018-11-02
9884,IBDN,2019-12-11,2020-10-01,2020-10-02
9885,IBDN,2019-12-11,2020-09-01,2020-09-02
9886,IBDN,2019-12-11,2020-08-03,2020-08-04
9887,IBDN,2019-12-11,2020-07-01,2020-07-02
9888,IBDN,2019-12-11,2020-06-01,2020-06-02
9889,IBDN,2019-12-11,2020-05-01,2020-05-04
9890,IBDN,2019-12-11,2020-04-01,2020-04-02
9891,IBDN,2019-12-11,2020-03-02,2020-03-03
9892,IBDN,2019-12-11,2020-02-03,2020-02-04
9893,IBDN,2018-12-20,2019-12-30,2019-12-31
9894,IBDN,2018-12-20,2019-12-19,2019-12-20
9895,IBDN,2018-12-20,2019-12-02,2019-12-03
9896,IBDN,2018-12-20,2019-11-01,2019-11-04
9897,IBDN,2018-12-20,2019-10-01,2019-10-02
9898,IBDN,2018-12-20,2019-09-03,2019-09-04
9899,IBDN,2018-12-20,2019-08-01,2019-08-02
9900,IBDN,2018-12-20,2019-07-01,2019-07-02
9901,IBDN,2018-12-20,2019-06-03,2019-06-04
9902,IBDN,2018-12-20,2019-05-01,2019-05-02
9903,IBDN,2018-12-20,2019-04-01,2019-04-02
9904,IBDN,2018-12-20,2019-03-01,2019-03-04
9905,IBDN,2018-12-20,2019-02-01,2019-02-04
9906,IBDN,2018-01-05,2018-12-18,2018-12-19
9907,IBDN,2018-01-05,2018-12-03,2018-12-04
9908,IBDN,2018-01-05,2018-11-01,2018-11-02
9909,IBDP,2019-12-11,2020-10-01,2020-10-02
9910,IBDP,2019-12-11,2020-09-01,2020-09-02
9911,IBDP,2019-12-11,2020-08-03,2020-08-04
9912,IBDP,2019-12-11,2020-07-01,2020-07-02
9913,IBDP,2019-12-11,2020-06-01,2020-06-02
9914,IBDP,2019-12-11,2020-05-01,2020-05-04
9915,IBDP,2019-12-11,2020-04-01,2020-04-02
9916,IBDP,2019-12-11,2020-03-02,2020-03-03
9917,IBDP,2019-12-11,2020-02-03,2020-02-04
9918,IBDP,2018-12-20,2019-12-30,2019-12-31
9919,IBDP,2018-12-20,2019-12-19,2019-12-20
9920,IBDP,2018-12-20,2019-12-02,2019-12-03
9921,IBDP,2018-12-20,2019-11-01,2019-11-04
9922,IBDP,2018-12-20,2019-10-01,2019-10-02
9923,IBDP,2018-12-20,2019-09-03,2019-09-04
9924,IBDP,2018-12-20,2019-08-01,2019-08-02
9925,IBDP,2018-12-20,2019-07-01,2019-07-02
9926,IBDP,2018-12-20,2019-06-03,2019-06-04
9927,IBDP,2018-12-20,2019-05-01,2019-05-02
9928,IBDP,2018-12-20,2019-04-01,2019-04-02
9929,IBDP,2018-12-20,2019-03-01,2019-03-04
9930,IBDP,2018-12-20,2019-02-01,2019-02-04
9931,IBDP,2018-01-05,2018-12-18,2018-12-19
9932,IBDP,2018-01-05,2018-12-03,2018-12-04
9933,IBDP,2018-01-05,2018-11-01,2018-11-02
9934,IBDR,2019-12-11,2020-10-01,2020-10-02
9935,IBDR,2019-12-11,2020-09-01,2020-09-02
9936,IBDR,2019-12-11,2020-08-03,2020-08-04
9937,IBDR,2019-12-11,2020-07-01,2020-07-02
9938,IBDR,2019-12-11,2020-06-01,2020-06-02
9939,IBDR,2019-12-11,2020-05-01,2020-05-04
